country,wk_scale,clim_zone,out_seas21,clim
Belize,normal,Tropical,no,Tropical
Bolivia,normal,Tropical,no,Tropical
Canada,inverted,Temperate,no,Temperate
Central African Republic,normal,Tropical,no,Tropical
Costa Rica,normal,Tropical,no,Tropical
England,inverted,Temperate,no,Temperate
France,inverted,Temperate,no,Temperate
Guatemala,inverted,Tropical,no,Tropical
Honduras,inverted,Tropical,no,Tropical
Hungary,inverted,Temperate,no,Temperate
India,normal,Tropical,no,Tropical
Ireland,inverted,Temperate,no,Temperate
Ivory Coast,normal,Tropical,no,Tropical
Madagascar,inverted,Tropical,no,Tropical
Mexico,inverted,Sub-tropical,no,Tropical
Nicaragua,normal,Tropical,no,Tropical
Paraguay,normal,Sub-tropical,no,Tropical
Qatar,inverted,Sub-tropical,no,Tropical
Slovakia,inverted,Sub-tropical,no,Tropical
South Africa,normal,Sub-tropical,no,Tropical
Uruguay,normal,Temperate,no,Temperate
Australia,normal,Sub-tropical,yes,Tropical
Brazil,inverted,Tropical,yes,Tropical
Bulgaria,inverted,Temperate,yes,Temperate
Colombia,normal,Tropical,yes,Tropical
Denmark,inverted,Temperate,yes,Temperate
Dominican,normal,Tropical,yes,Tropical
Ecuador,inverted,Tropical,yes,Tropical
El Salvador,normal,Tropical,yes,Tropical
Germany,inverted,Temperate,yes,Temperate
Iceland,inverted,Temperate,yes,Temperate
Japan,normal,Temperate,yes,Temperate
Malaysia,normal,Tropical,yes,Tropical
Mongolia,inverted,Sub-tropical,yes,Tropical
Netherlands,inverted,Temperate,yes,Temperate
Northern Ireland,inverted,Temperate,yes,Temperate
Oman,inverted,Sub-tropical,yes,Tropical
Panama,inverted,Tropical,yes,Tropical
Peru,normal,Sub-tropical,yes,Tropical
Portugal,inverted,Sub-tropical,yes,Tropical
Scotland,inverted,Temperate,yes,Temperate
Spain,inverted,Sub-tropical,yes,Tropical
Sweden,inverted,Temperate,yes,Temperate
United States,inverted,Temperate,yes,Temperate
Argentina,normal,Sub-tropical,yes,Tropical
