country,wk_scale,clim_zone,humidity,alevation,lat_lon,temperature,rainfall
Argentina,normal,Sub-tropical,,,,,
Australia,normal,Sub-tropical,,,,,
Mexico,inverted,Sub-tropical,,,,,
Mongolia,inverted,Sub-tropical,,,,,
Oman,inverted,Sub-tropical,,,,,
Paraguay,normal,Sub-tropical,,,,,
Peru,normal,Sub-tropical,,,,,
Portugal,inverted,Sub-tropical,,,,,
Qatar,inverted,Sub-tropical,,,,,
Slovakia,inverted,Sub-tropical,,,,,
South Africa,normal,Sub-tropical,,,,,
Spain,inverted,Sub-tropical,,,,,
Bulgaria,inverted,Temperate,,,,,
Canada,inverted,Temperate,,,,,
Denmark,inverted,Temperate,,,,,
England,inverted,Temperate,,,,,
France,inverted,Temperate,,,,,
Germany,inverted,Temperate,,,,,
Hungary,inverted,Temperate,,,,,
Iceland,inverted,Temperate,,,,,
Ireland,inverted,Temperate,,,,,
Japan,normal,Temperate,,,,,
Netherlands,inverted,Temperate,,,,,
Northern Ireland,inverted,Temperate,,,,,
Scotland,inverted,Temperate,,,,,
Sweden,inverted,Temperate,,,,,
United States,inverted,Temperate,,,,,
Uruguay,normal,Temperate,,,,,
Belize,normal,Tropical,,,,,
Bolivia,normal,Tropical,,,,,
Brazil,inverted,Tropical,,,,,
Central African Republic,normal,Tropical,,,,,
Colombia,normal,Tropical,,,,,
Costa Rica,normal,Tropical,,,,,
Dominican,normal,Tropical,,,,,
Ecuador,inverted,Tropical,,,,,
El Salvador,normal,Tropical,,,,,
Guatemala,inverted,Tropical,,,,,
Honduras,inverted,Tropical,,,,,
India,normal,Tropical,,,,,
Ivory Coast,normal,Tropical,,,,,
Madagascar,inverted,Tropical,,,,,
Malaysia,normal,Tropical,,,,,
Nicaragua,normal,Tropical,,,,,
Panama,inverted,Tropical,,,,,
United States Mid West,inverted,,,,,,
United States North East,inverted,,,,,,
United States South,inverted,,,,,,
United States West,inverted,,,,,,
