hemi,region,country,date,yr,mo,wk,cases
Southern hemisphere,Africa,South Africa,2017-11-19,2017,11,47,0
Southern hemisphere,Africa,South Africa,2017-11-26,2017,11,48,0
Southern hemisphere,Africa,South Africa,2017-12-03,2017,12,49,0
Southern hemisphere,Africa,South Africa,2017-12-10,2017,12,50,0
Southern hemisphere,Africa,South Africa,2017-12-17,2017,12,51,0
Southern hemisphere,Africa,South Africa,2017-12-24,2017,12,52,0
Southern hemisphere,Africa,South Africa,2018-09-16,2018,9,37,0
Southern hemisphere,Africa,South Africa,2018-09-30,2018,9,39,0
Southern hemisphere,Africa,South Africa,2018-11-11,2018,11,45,0
Southern hemisphere,Africa,South Africa,2018-11-25,2018,11,47,0
Southern hemisphere,Africa,South Africa,2018-12-02,2018,12,48,0
Southern hemisphere,Africa,South Africa,2018-12-09,2018,12,49,0
Southern hemisphere,Africa,South Africa,2018-12-23,2018,12,51,0
Southern hemisphere,Africa,South Africa,2019-02-10,2019,2,6,0
Southern hemisphere,Africa,South Africa,2019-08-25,2019,8,34,0
Southern hemisphere,Africa,South Africa,2019-10-06,2019,10,40,0
Southern hemisphere,Africa,South Africa,2019-10-20,2019,10,42,0
Southern hemisphere,Africa,South Africa,2019-10-27,2019,10,43,0
Southern hemisphere,Africa,South Africa,2019-11-03,2019,11,44,0
Southern hemisphere,Africa,South Africa,2019-11-17,2019,11,46,0
Southern hemisphere,Africa,South Africa,2019-11-24,2019,11,47,0
Southern hemisphere,Africa,South Africa,2019-12-15,2019,12,50,0
Southern hemisphere,Africa,South Africa,2019-12-22,2019,12,51,0
Southern hemisphere,Africa,South Africa,2020-01-12,2020,1,2,0
Southern hemisphere,Africa,South Africa,2020-01-19,2020,1,3,0
Southern hemisphere,Africa,South Africa,2020-02-02,2020,2,5,0
Southern hemisphere,Africa,South Africa,2021-10-17,2021,10,42,0
Southern hemisphere,Africa,South Africa,2021-10-31,2021,10,44,0
Southern hemisphere,Africa,South Africa,2021-11-07,2021,11,45,0
Southern hemisphere,Africa,South Africa,2021-11-21,2021,11,47,0
Southern hemisphere,Africa,South Africa,2017-01-08,2017,1,2,5
Southern hemisphere,Africa,South Africa,2017-01-15,2017,1,3,4
Southern hemisphere,Africa,South Africa,2017-01-22,2017,1,4,6
Southern hemisphere,Africa,South Africa,2017-01-29,2017,1,5,3
Southern hemisphere,Africa,South Africa,2017-02-05,2017,2,6,8
Southern hemisphere,Africa,South Africa,2017-02-12,2017,2,7,16
Southern hemisphere,Africa,South Africa,2017-02-19,2017,2,8,14
Southern hemisphere,Africa,South Africa,2017-02-26,2017,2,9,25
Southern hemisphere,Africa,South Africa,2017-03-05,2017,3,10,32
Southern hemisphere,Africa,South Africa,2017-03-12,2017,3,11,42
Southern hemisphere,Africa,South Africa,2017-03-19,2017,3,12,21
Southern hemisphere,Africa,South Africa,2017-03-26,2017,3,13,30
