WHOREGION,FLUSEASON,HEMISPHERE,COUNTRY_AREA_TERRITORY,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,RSV
AFR,NH,NH,Algeria,2018-01-07,2018,2,2
AFR,NH,NH,Algeria,2018-01-14,2018,3,5
AFR,NH,NH,Algeria,2018-01-21,2018,4,3
AFR,NH,NH,Algeria,2019-11-03,2019,45,1
AFR,NH,NH,Algeria,2019-12-08,2019,50,2
AFR,NH,NH,Algeria,2019-12-15,2019,51,2
AFR,NH,NH,Algeria,2019-12-22,2019,52,2
AFR,NH,NH,Algeria,2019-12-29,2020,1,2
AFR,NH,NH,Algeria,2020-01-05,2020,2,0
AFR,NH,NH,Algeria,2020-01-12,2020,3,1
AFR,NH,NH,Algeria,2020-01-19,2020,4,1
AFR,NH,NH,Algeria,2020-01-26,2020,5,0
AFR,NH,NH,Algeria,2020-02-02,2020,6,1
AFR,YR,NH,Cameroon,2017-02-05,2017,6,0
AFR,YR,NH,Cameroon,2017-02-12,2017,7,0
AFR,YR,NH,Cameroon,2017-02-19,2017,8,0
AFR,YR,NH,Cameroon,2017-02-26,2017,9,0
AFR,YR,NH,Cameroon,2017-03-05,2017,10,0
AFR,YR,NH,Cameroon,2017-03-12,2017,11,1
AFR,YR,NH,Cameroon,2017-03-19,2017,12,0
AFR,YR,NH,Cameroon,2017-03-26,2017,13,0
AFR,YR,NH,Cameroon,2017-04-02,2017,14,1
AFR,YR,NH,Cameroon,2017-04-09,2017,15,2
AFR,YR,NH,Cameroon,2017-04-16,2017,16,1
AFR,YR,NH,Cameroon,2017-04-23,2017,17,0
AFR,YR,NH,Cameroon,2017-04-30,2017,18,1
AFR,YR,NH,Cameroon,2017-05-07,2017,19,1
AFR,YR,NH,Cameroon,2017-05-14,2017,20,1
AFR,YR,NH,Cameroon,2019-03-17,2019,12,0
AFR,YR,NH,Cameroon,2019-03-24,2019,13,0
AFR,YR,NH,Cameroon,2019-03-31,2019,14,0
AFR,YR,NH,Cameroon,2019-04-07,2019,15,0
AFR,YR,NH,Cameroon,2019-04-14,2019,16,1
AFR,YR,NH,Cameroon,2019-04-21,2019,17,1
AFR,YR,NH,Cameroon,2019-04-28,2019,18,0
AFR,YR,NH,Cameroon,2019-05-05,2019,19,0
AFR,YR,NH,Cameroon,2019-05-12,2019,20,1
AFR,YR,NH,Cameroon,2019-05-19,2019,21,0
AFR,YR,NH,Cameroon,2019-05-26,2019,22,5
AFR,YR,NH,Cameroon,2019-06-02,2019,23,2
AFR,YR,NH,Cameroon,2019-06-09,2019,24,2
AFR,YR,NH,Cameroon,2019-06-16,2019,25,5
AFR,YR,NH,Cameroon,2019-06-23,2019,26,4
AFR,YR,NH,Cameroon,2019-06-30,2019,27,0
AFR,YR,NH,Cameroon,2019-07-07,2019,28,1
AFR,YR,NH,Cameroon,2019-07-14,2019,29,1
AFR,YR,NH,Cameroon,2019-07-21,2019,30,2
AFR,YR,NH,Cameroon,2019-07-28,2019,31,0
AFR,YR,NH,Cameroon,2019-08-04,2019,32,1
AFR,YR,NH,Cameroon,2019-08-11,2019,33,1
AFR,YR,NH,Cameroon,2019-08-18,2019,34,0
AFR,YR,NH,Cameroon,2019-08-25,2019,35,0
AFR,YR,NH,Cameroon,2019-09-01,2019,36,1
AFR,YR,NH,Cameroon,2019-09-08,2019,37,1
AFR,YR,NH,Cameroon,2019-09-15,2019,38,3
AFR,YR,NH,Cameroon,2019-09-22,2019,39,3
AFR,YR,NH,Cameroon,2019-09-29,2019,40,3
AFR,YR,NH,Cameroon,2019-10-06,2019,41,0
AFR,YR,NH,Cameroon,2019-10-13,2019,42,0
AFR,YR,NH,Cameroon,2019-10-20,2019,43,1
AFR,YR,NH,Cameroon,2019-10-27,2019,44,0
AFR,YR,NH,Cameroon,2019-11-03,2019,45,0
AFR,YR,NH,Cameroon,2019-11-10,2019,46,0
